date,Consumption_kWh_Vehicle_0,Consumption_kWh_Vehicle_1,Consumption_kWh_Vehicle_10,Consumption_kWh_Vehicle_11,Consumption_kWh_Vehicle_2,Consumption_kWh_Vehicle_3,Consumption_kWh_Vehicle_4,Consumption_kWh_Vehicle_5,Consumption_kWh_Vehicle_6,Consumption_kWh_Vehicle_7,Consumption_kWh_Vehicle_8,Consumption_kWh_Vehicle_9
2026-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00,0.0,0.0,3.84691064461131,0.0,0.0,2.412427247051881,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00,0.0,2.039957044270785,3.1305653112085627,2.243669905382406,0.0,2.2851920295309127,0.0,0.0,2.1919598394512425,0.0,6.089797045365316,0.0
2026-01-01 09:00:00,2.277803424061295,2.8983572018593904,2.3302499073317287,4.8304248914906145,1.757390471344876,3.376567364246386,1.2165503671061286,1.2639520045986425,1.2281232833394953,0.0,4.551617105079785,3.261972991823544
2026-01-01 10:00:00,2.2778353203299058,2.9957636343739797,3.2339370642409953,3.0662458485653707,3.093689533200993,3.3331998808710135,4.321653611606707,3.080373611969644,4.244001919388087,2.59645484712932,1.827727422554947,3.244531940570211
