date,Distance_km_Vehicle_0,Distance_km_Vehicle_1,Distance_km_Vehicle_10,Distance_km_Vehicle_11,Distance_km_Vehicle_2,Distance_km_Vehicle_3,Distance_km_Vehicle_4,Distance_km_Vehicle_5,Distance_km_Vehicle_6,Distance_km_Vehicle_7,Distance_km_Vehicle_8,Distance_km_Vehicle_9
2026-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00,0.0,0.0,8.324382985279513,0.0,0.0,8.271994106797772,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00,0.0,10.429633703603528,8.324382985279513,9.474397890131108,0.0,8.271994106797772,0.0,0.0,10.839787405132135,0.0,11.944531086608226,0.0
2026-01-01 09:00:00,12.562374935790768,10.429633703603528,8.324382985279513,9.474397890131108,9.836078536106914,8.271994106797772,10.737641347542557,11.15602253129213,10.839787405132135,0.0,11.944531086608226,10.339729348424171
2026-01-01 10:00:00,12.562374935790768,10.429633703603528,8.324382985279513,9.474397890131108,9.836078536106914,8.271994106797772,10.737641347542557,11.15602253129213,10.839787405132135,9.158333304004644,11.944531086608226,10.339729348424171
2026-01-01 11:00:00,12.562374935790768,10.429633703603528,8.324382985279513,9.474397890131108,9.836078536106914,8.271994106797772,10.737641347542557,11.15602253129213,10.839787405132135,9.158333304004644,11.944531086608226,10.339729348424171
