date,Consumption_km_Vehicle_0,Consumption_km_Vehicle_1,Consumption_km_Vehicle_10,Consumption_km_Vehicle_11,Consumption_km_Vehicle_2,Consumption_km_Vehicle_3,Consumption_km_Vehicle_4,Consumption_km_Vehicle_5,Consumption_km_Vehicle_6,Consumption_km_Vehicle_7,Consumption_km_Vehicle_8,Consumption_km_Vehicle_9
2026-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00,0.0,0.0,0.462125619570126,0.0,0.0,0.2916379310605882,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00,0.0,0.19559239588308477,0.3760717541161335,0.23681398347429525,0.0,0.2762564866496924,0.0,0.0,0.20221428313376805,0.0,0.5098397753088001,0.0
2026-01-01 09:00:00,0.18131949059820934,0.2778963561163211,0.27993064608541485,0.5098397753088001,0.17866779579826791,0.4081926704313758,0.11329772784640002,0.11329772784640002,0.11329772784640002,0.0,0.38106285396024403,0.3154795335451102
2026-01-01 10:00:00,0.18132202962994293,0.2872357476311865,0.3884897018745717,0.3236349036764952,0.314524688049661,0.40294998253587383,0.4024769939439048,0.27611755025855655,0.39152077072828473,0.283507354552599,0.15301793007212552,0.3137927339524312
