date,Consumption_kWh_Vehicle_0,Consumption_kWh_Vehicle_1,Consumption_kWh_Vehicle_2,Consumption_kWh_Vehicle_3,Consumption_kWh_Vehicle_4,Consumption_kWh_Vehicle_5
2026-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00,0.0,0.0,0.0,3.13406981258731,0.0,0.0
2026-01-01 08:00:00,0.0,2.039957044270785,0.0,3.006834595066342,0.0,0.0
2026-01-01 09:00:00,2.277803424061295,2.8983572018593904,1.757390471344876,4.098209929781815,1.2165503671061286,1.2639520045986425
2026-01-01 10:00:00,2.2778353203299058,2.9957636343739797,3.093689533200993,4.054842446406443,5.258397394278426,4.053616655510599
2026-01-01 11:00:00,5.800791043817251,1.1816538008885138,1.854448595728486,3.06387797988556,3.500652407642669,1.867625704085099
2026-01-01 12:00:00,4.223677626999802,2.083634107587098,3.220354370870055,0.9371981370589988,3.9520480912461617,2.3329939165810694
2026-01-01 13:00:00,1.8206243867365215,2.7458372440842895,3.7262752353686386,1.658815745859991,1.9054008369080009,4.099404353483749
2026-01-01 14:00:00,3.786793594686363,1.1816538008885138,5.01482407076846,3.5192765223707485,4.240504775244524,5.055665170387359
2026-01-01 15:00:00,1.8323912626174916,1.2894375534022429,1.8415484886093934,3.838004052087717,3.4281217122020124,4.690681008005989
2026-01-01 16:00:00,1.8278994167511047,2.9410432281624677,1.114405349059658,3.4117785152481854,4.169161669027463,4.57778442283466
2026-01-01 17:00:00,3.202795594140376,1.1816538008885138,1.114405349059658,1.819632015012903,4.65187741704268,1.8461556700043287
2026-01-01 18:00:00,1.4232885365796593,1.4444221855569959,2.4068582599844954,3.1150484778772944,2.5199796357852304,3.0120564456672647
2026-01-01 19:00:00,1.4232885365796593,1.7106710963594876,3.412701437540296,4.217391616765495,1.2165503671061286,2.5491544673948923
2026-01-01 20:00:00,1.6403080465624822,0.0,2.4800174428133848,0.0,5.474476651977579,4.961608895360445
2026-01-01 21:00:00,0.0,0.0,1.114405349059658,0.0,3.453417436493792,1.9556045860074351
2026-01-01 22:00:00,0.0,0.0,4.42241381441097,0.0,0.0,4.350003774643188
2026-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 07:00:00,3.327626693622536,0.0,0.0,0.0,0.0,2.764965179317694
2026-01-02 08:00:00,1.3680317614105277,0.0,4.3759148612833565,4.7540486300771745,0.0,0.7959311910809073
2026-01-02 09:00:00,1.707838727932525,0.0,1.1943593980639988,3.8850643939977023,0.0,1.8362000865384946
2026-01-02 10:00:00,0.8487521610647436,1.4871072759663884,1.1943593980639988,5.066841925640575,2.5442358568642676,1.3371594095371573
2026-01-02 11:00:00,0.9989113402884683,3.025113914017196,3.655217764538242,2.4761671311482707,5.474211318920455,0.9337835831396654
2026-01-02 12:00:00,1.7581131494918627,0.8069947329649091,1.1943593980639988,6.229755542683825,1.9587419111861744,0.7959311910809073
2026-01-02 13:00:00,0.8487521610647436,1.4313479872115222,5.374617291287994,4.056389581327159,4.3053411724338515,2.5114502456837275
2026-01-02 14:00:00,2.0648678485401386,2.7192777678425317,1.3648564335337285,1.3843901205964055,5.5057443012730785,1.5932802754241113
2026-01-02 15:00:00,0.9337361772346214,0.9442514711074543,2.2756166068944785,1.3843901205964055,3.6480404791522156,2.7227647554196706
2026-01-02 16:00:00,1.291663318053451,1.7428088984602073,2.6168952530869376,4.96121675058018,3.5346576057516015,2.6555029355312483
2026-01-02 17:00:00,0.9324989393659854,2.0975649308120774,2.0633758251977223,4.770482927023102,5.303663048713172,3.010032283578316
2026-01-02 18:00:00,3.7755549271175384,3.6314762983420907,1.8624579586535788,5.950919803094307,1.6929894778805739,1.390777226544507
